Kitchen,School,School_Type,Date,Menu,Rice_variant,Projected_Kids,Actual_Meals_Served,Successful_Taps,F4E_Supported_Kids,Teachers,Staff_Meals,Failed_Taps,New_Registrations,New_Tags_Replaced,Rice_Remaining,B_W_G_Remaining,Missed_Food,Next_Day_Projection_Students,Next_Day_Projection_Teachers,Next_Day_Projection_Staff,Start_Taping,Stop_Taping,Lunch_Time_Min,Projection_Comment,Comment_1,Comment_2,Comment_3,Comment_4,Reported_By,file_date
Githunguri,Gathaithi Primary,Primary,1/5/2026,Rice and Greengrams,White,270,263,237,26,0,3,15,12,9,1.75,2.1,,300,0,,1/5/2026 12:45,1/5/2026 13:35,49,,Food was delicious,The teacher on duty assisted with queue management,We had 15 failed taps. Some parents failed to top up,"We fed 263 kids because being the first day of the term, there is a low turnout",@P.C.E.A Gathaithi primary and Junior secondary school,5
Githunguri,Mathanja Priamry,Primary,1/5/2026,Rice and Greengrams,White,100,100,85,15,0,2,6,0,0,0,0,,150,0,,1/5/2026 12:40,1/5/2026 13:25,45,,Food was delicious,I managed the queue without any assistance since kids were orderly.,today we had 6 failed taps. some parents didn't top-up their accounts on time.,today we had 100 actual meals served. this number is low since turnout was low being an opening day,@mathanja primary school,5
Githunguri,Kiambururu Primary,Primary,1/5/2026,Rice and Greengrams,White,180,167,148,19,0,3,9,1,3,2,2.5,,190,0,,1/5/2026 12:50,1/5/2026 13:57,67,,Food was delicious,Line management was smooth,Failed taps were 9.Some parents hadn't topped up on time,Actual meals served was 167.This is because there was low student turnout since it was opening day,@Kiambururu Comprehensive School,5
Githunguri,Gathiruini Primary,Primary,1/5/2026,Rice and Greengrams,White,170,179,159,20,0,2,6,2,1,0,0,,185,0,,1/5/2026 12:30,1/5/2026 13:30,60,,Food was delicious,Line management was good with help of teacher on duty,Failed taps today were 6 parents forgot to top up their accounts on time,Actual meal served today were 179,@Catherine Wanjiru,5
Githunguri,Matuguta Primary,Primary,1/5/2026,Rice and Greengrams,White,320,305,278,27,2,3,25,6,6,4,5,,350,3,,1/5/2026 12:20,1/5/2026 13:40,80,,Food was sweet and delicious,Queue was well managed,Failed taps were 25 some students forgot the tags at home and a few are yet to replace thire lost tags,"Actual meals were 305,majority of the students reported to school today.",@Matuguta primary,5
Githunguri,Gatitu Primary,Primary,1/5/2026,Rice and Greengrams,White,240,252,230,22,0,3,12,26,8,0,0,,300,3,,1/5/2026 12:10,1/5/2026 14:00,109,,Food was well cooked and enough.,Lines were orderly from class to class.,"Previous failed taps were 29,a decrease today to 12 caused by parents topping up.","Successful taps today were 252,a decrease from 258 which was caused by absenteeism.",@Wambui ikonya -sc- Gatitu comprehensive,5
Githunguri,Kiawaiguru Primary,Primary,1/5/2026,Rice and Greengrams,White,120,142,128,14,0,2,9,4,1,0,0,,200,1,,1/5/2026 12:30,1/5/2026 13:20,50,,Food was hot,Line was oderly.,"Failed taps were 9, some parents forgot to top up despite reminding them.",Actual meals served was 142 . Most pupils didn’t report to school today.,@KIAWAIGURU PRIMARY SCHOOL,5
Githunguri,Gitombo Primary,Primary,1/5/2026,Rice and Greengrams,White,90,126,111,15,0,2,8,1,0,0,0,,150,0,,1/5/2026 12:50,1/5/2026 13:23,33,,Food was delicious.,Queue was manageable.,Failed taps were 8 some parents forgot to top up on time.,Actual meal served today was 126 most kids reported back to school.,@Veronica Mwaura -S/C- Gitombo primary,5
kiambu kitchen,Kahunira Primary,Primary,1/5/2026,Rice and Greengrams,White,500,412,375,37,0,5,25,5,18,10,10,0,580,0,4,1/5/2026 12:40,1/5/2026 13:35,54,We are projecting this number because grade 1 students will be,Food was hot and delicious,Queue management was well managed by TOD,We had 25 failed taps today.,Actual meals served today was 412.,@Mwangi Mary Kahunira Comprehensive,5
kiambu kitchen,Kiababu Primary,Primary,1/5/2026,Rice and Greengrams,White,230,266,245,21,0,2,11,2,2,16,19,0,200,0,2,1/5/2026 12:40,1/5/2026 13:30,50,Expecting more kids to,The food was delicious,Line management was neat with the help of he teacher on duty,Failed taps were 11,Successful taps were 166,@kiaibabu primary school,5
kiambu kitchen,Ciiko Primary,Primary,1/5/2026,Rice and Greengrams,White,300,72,69,3,0,5,1,0,7,50,80,0,350,0,5,1/5/2026 13:00,1/5/2026 13:25,25,"Tomorrow grade 2 ,3,4,5  will join grade 7,8 and 9 . Only kids  who have  no fee balance are admitted thus I project 350 .",The food was hot and delicious,The queue was smooth,Failed taps today were 1,Successful taps were 72,@Ciiko Comprehensive school -SL- Samy Migwi,5
kiambu kitchen,Ciiko Primary,Primary,1/6/2026,Rice and Beans,White,380,433,400,33,0,5,8,0,35,0,0,20,700,0,5,1/6/2026 13:00,1/6/2026 14:00,60,"Tomorrow we shall  Grade 1 ,Grade 7 and Newcomers will   be admitted  thus  we expected a higher number.",The food was hot  and delicious,The queue was managed by the teacher on duty,Failed taps increased from 1 to 8,Successful taps increased from 72 to 433,@Ciiko Comprehensive school -SL- Samy Migwi,6
kiambu kitchen,Kahunira Primary,Primary,1/6/2026,Rice and Beans,White,580,513,468,45,0,4,19,42,4,7,7,0,600,0,4,1/6/2026 12:40,1/6/2026 13:40,59,We are projecting this number because grade 7 will be,Food was delicious,Queue management was well managed by TOD,"Failed taps decreased from 25 to 19,some parents made timely payment","Actual meals served today increased from 412 to 513 meals, turn out was great today.",@Mwangi Mary Kahunira Comprehensive,6
kiambu kitchen,Kiababu Primary,Primary,1/6/2026,Rice and Beans,White,350,230,206,24,0,2,13,0,0,30,36,12,250,0,2,1/6/2026 12:40,1/6/2026 14:15,95,Expecting more kids to,The food was delicious,Queue management was neat with the help of the teacher on duty,Failed taps increased from 11 to 13 as some parents did not manage to pay on time,Successful taps increased from 166 to 230 more kids reported today,@kiaibabu primary school,6
