Kitchen,School,Date,Menu,Projected_Kids,Actual_Meals_Served,Successful_Taps,F4E_Supported_Kids,Teachers,Staff_Meals,Failed_Taps,New_Registrations,New_Tags_Replaced,Rice_Remaining,B_W_G_Remaining,Missed_Food,Next_Day_Projection_Students,Next_Day_Projection_Teachers,Next_Day_Projection_Staff,Start_Taping,Stop_Taping,Projection_Comment,Comment_1,Comment_2,Comment_3,Comment_4,Reported_By
,Thuita Primary School,2026-02-05,Turmeric rice and beans,210,219,183,36,0,2,1,0,5,0,0,,200,0,,"5 Feb 2026, 12:35:47","5 Feb 2026, 13:35:55",,Food was delicious,Queue management was smooth,Number of failed taps decreased from yesterday's 5 to today's 1.A pareng forgot to top up,"Number of actual meals was same as yesterday,that is, 219.Most parents had enough funds in their accounts",@SC Thuita Comprehensive school
,Thuita Secondary School,2026-02-05,Tumeric rice and beans,45,40,40,0,0,2,2,0,0,0,0,,45,0,,"5 Feb 2026, 13:10:10","5 Feb 2026, 13:20:18",,Food was delicious,Queue management was smooth,Yesterday there was no failed tap while today there was 2 failed tap because parents forgot to top up,Yesterday there were 43 tap while today there was 40 Soo there was a decrease,@Thuita Secondary tapper
,Ikinu Primary,2026-02-05,Turmeric rice and beans,860,887,799,88,0,5,16,0,7,0,0,,870,0,,"5 Feb 2026, 12:15:12","5 Feb 2026, 13:40:23",,The food was delicious,Queue management was smooth,"Actual meals have decreased from 943 to 887. Turn out was low , 54 Grade 9 learners had homescience practical lesson.",Failed taps have reduced from 25 to 16. More parents topped up.,@SL Janet-Ikinu primary School
,Kanjai Primary,2026-02-05,White Rice and Beans,430,453,396,57,0,6,8,0,2,0,0,,450,0,,"5 Feb 2026, 12:40:30","5 Feb 2026, 13:30:35",,Food was delicious and hot. The mangoes were good.,The queue was well managed,The number of failed taps was the same as yesterday's. The accounts were not topped up.,"There was a huge increase in number from 430 to 453,most accounts were topped up on time,and most of them showed up because of the mangoes.",@Immaculate-SC Kanjai Primary
,Kiambururu Comprehensive School,2026-02-05,White Rice and Beans,285,291,259,32,0,3,5,0,0,0,0,,285,0,,"5 Feb 2026, 12:20:32","5 Feb 2026, 13:35:39",,The food was delicious,Line management was smooth and fast.The senior teacher helped,Failed taps reduced from 7 to 5.This is because parents failed to top up even after calling them,Actual meals served decreased from 296 to 291.This because we had parents who hadn't topped up their accounts,@Kiambururu Comprehensive School
,Komothai Primary School,2026-02-05,Tumeric Rice and beans,200,194,178,16,0,2,8,0,0,2,2,,200,0,,"5 Feb 2026, 12:30:10","5 Feb 2026, 13:25:21",,The food was delicious,The kids where organized,"Failed taps increased from 3 to 8, parents forgot to top up","The actual meals increased from 193 to 194, absent kids reported to school",@SC Komothai Comprehensive
,Kiawairia Secondary School,2026-02-05,Tumeric rice and beans,45,39,39,0,0,2,2,0,0,7,2,,45,0,,"5 Feb 2026, 13:25:01","5 Feb 2026, 13:35:12",,Food was appetizing and yummy,Line management was transitioning good,Number of failed taps increased from 0 to 2 parents didn't top up their accounts on time,Actual meals decreased from 61 to 39 today form 4 students were sent home for school fees,@Patrick Kariuki Kiawairia secondary school Tapper
,Mathanja Priamry School,2026-02-05,rice and beans,210,208,184,24,0,2,1,0,0,1,1,,205,0,,"5 Feb 2026, 12:40:27","5 Feb 2026, 13:25:33",,food was delicious,I managed the queue without any assistance,today we had 1 only failed tap a decrease compared to yesterday 2. only one parent who didn't top-up their account .,today we had 208 actual meals served a decrease compared to yesterday 212. some kids were absent today hence the decrease.,@mathanja primary school
,Githiga Primary,2026-02-05,T Rice and beans,400,408,379,29,0,3,27,2,4,00,0,,415,0,,"5 Feb 2026, 12:30:48","5 Feb 2026, 13:41:54",,Food  was sweet  and delicious,Line Management  was smooth,Failed taps increased  from 22 to 27.. parents forgot to top up their accounts,Actual  meals increased  from 370 to 408. Students turnout  increased. Those sent home for school  fees resumed.,@SC - Githiga Comprehensive
,Githima Primary,2026-02-05,White rice and beans,270,261,235,26,3,2,2,1,0,2,3,,265,4,,"5 Feb 2026, 12:30:01","5 Feb 2026, 13:30:09",,The food was delicious,I managed the queue with the help of two teachers on duty,We had 2 failed taps which is a decrease from yesterday's 10 failed taps.Most of the accounts were topped up on time.,We had 261 actual meals served which is a decrease from yesterday's 265 actual meals served.Some kids were absent today.,@Brenda kamawe Githima primary and junior secondary school
,Kagema Secondary School,2026-02-05,Rice and Beans,235,232,232,0,0,2,6,0,2,1,2,,230,0,,"5 Feb 2026, 12:50:41","5 Feb 2026, 13:11:48",,Food was delicious,Queue was well manageable,Fail tap was a decrease of 6 while yesterday was 10,Successful tap was a decrease of 232 while yesterday was 239,@Tapper Kagema secondary
,Ndireti Primary School,2026-02-05,Tumeric Rice& western,205,201,174,27,0,2,15,0,0,0,0,,205,0,,"5 Feb 2026, 12:40:18","5 Feb 2026, 13:40:24",,The Food was delicious,I managed the queue  well.,We had 15 failed taps an increase  compared to 8 of yesterday,We had 201 actual taps a decrease  compared to 216 of yesterday turn out was lower.,@SC Sharon _Ndireti primary
,Gatina Primary School,2026-02-05,Rice and beans,465,463,395,68,0,3,11,0,1,0,0,,460,0,,"5 Feb 2026, 12:33:43","5 Feb 2026, 13:29:48",,Kids have enjoyed the meal.,Line was smooth and orderly.,Failed taps were 11 a decrease compared to yesterday's number of 16.The number were low because many parents managed to credit accounts on time.,Actual meal served were 463 a decrease compared to yesterday's number of 467.There was a slight decrease due to failed taps and a number of kids were absent.,@Kang'ethe Dennis
,PCEA Matuguta Primary & Junior Secondary School,2026-02-05,Rice and Beans,480,494,450,44,0,0,10,0,1,0,0,,500,3,,"5 Feb 2026, 12:30:42","5 Feb 2026, 13:40:47",,Food was delicious,Queue was well managed,Failed taps were 10 a decrease of 1 tap from yesterday's 11 failed taps Respective parents had not topped up,Actual meals were 494 an increase of 1 tap from yesterday's  493 actual meals. Many students came for food today.,@Matuguta primary
