Kitchen,School,Date,Menu,Projected_Kids,Actual_Meals_Served,Successful_Taps,F4E_Supported_Kids,Teachers,Staff_Meals,Failed_Taps,New_Registrations,New_Tags_Replaced,Rice_Remaining,B_W_G_Remaining,Missed_Food,Next_Day_Projection_Students,Next_Day_Projection_Teachers,Next_Day_Projection_Staff,Start_Taping,Stop_Taping,Projection_Comment,Comment_1,Comment_2,Comment_3,Comment_4,Reported_By
,Kigumo Primary,2026-01-13,White Rice and GreenGrams,180,174,153,21,0,2,13,0,4,2,2,,180,0,,"13 Jan 2026, 12:40:36","13 Jan 2026, 13:16:41",,Food was delicious,Line management was orderly assisted by the teacher on duty,We had 13 failed taps compared to yesterday where we had 18.This decrease was led by parents topping up their accounts.,We had 174 actual meals served compared to yesterday where we had 163.This increase was led by kids reporting in good number.,@S C PCEA Kigumo Comprehensive School
,PCEA Matuguta Primary & Junior Secondary School,2026-01-13,Rice and greengrams,460,445,416,29,3,3,9,1,5,4,5,,450,3,,"13 Jan 2026, 12:40:51","13 Jan 2026, 13:30:58",,Food was delicious,Queue was well managed,failed taps were 9 a decrease of 7 taps from yesterday's 16 failed taps. Respective parents had not topped up,Actual meals were 445 a decrease of 8 taps from yesterday's 453 actual meals. Some parents had not topped up their  kid's accounts.,@Matuguta primary
,GATHAITHI PRIMARY,2026-01-13,"RICE, GREENGRAMS AND BANANAS",460,457,411,46,0,3,13,2,1,00,0,,460,00,,"13 Jan 2026, 12:45:39","13 Jan 2026, 13:30:44",,Food was delicious,Teachers on duty assisted with queue management,We had 13 failed taps a drop from 16,Actual meals served increased from 447 to 457,@P.C.E.A Gathaithi primary and Junior secondary school Jane Wanjiru
,Gikang'a Kageche Secondary School,2026-01-13,Rice and Green Grams,230,231,231,0,0,3,4,4,9,0,0,,250,0,,"13 Jan 2026, 13:15:40","13 Jan 2026, 14:00:49",,Food was yummy,Queue was well managed,"Today's failed taps decreased from 9 to 4,parent topped up on time","Today's successful taps increased from 196 to 231,today's turn was high",@Pauline Gatimu
,Ndireti Primary School,2026-01-13,White rice & Green grams,205,197,176,21,0,2,10,3,5,0,0,,200,0,,"13 Jan 2026, 12:50:53","13 Jan 2026, 13:51:17",,"The food was delicious,",I managed the queue  well.,We had 10 failed taps an increase  compared to 9 of yesterday,We had 197 actual taps a constant  compared to 197 of yesterday turn out was the same,@SC Sharon _Ndireti primary
,Ikinu Primary,2026-01-13,Rice and GG,855,825,753,72,0,5,22,4,15,8,9,,800,0,,"13 Jan 2026, 12:30:44","13 Jan 2026, 14:00:51",,The food was delicious,Queue management was better,Failed taps increased from 17 to 22. Some parents failed to top up.,Actual meals increased from 729 to 825.More pupils turned up,@SL Janet-Ikinu primary School
,Catholic Archdiocese Of Nairobi Gataka Primary & Junior Secondary,2026-01-13,Rice and Greengrams,280,283,266,17,0,2,5,2,1,0,0,,285,0,,"13 Jan 2026, 12:45:23","13 Jan 2026, 13:34:30",,The food was delicious,The queue was well managed by the school coordinator.,"The number of failed taps dropped from 10 to 5, we reminded kids to request their parents to top up.","The number of actual meals rose from 272 to 283, parents made timely payments for their kids.",@Catholic archdiocese of Nairobi Gataka primary school and Junior secondary
,Gathugu Secondary School,2026-01-13,Rice and GG,165,155,155,0,0,3,6,0,4,3,3,,170,00,,"13 Jan 2026, 12:40:20","13 Jan 2026, 13:10:26",,food was hot and delicious,Queue management was orderly,number of failed taps descreased from 7 to 6.,Number of successful taps increase from 155 to 152.,@Tapper Gathugu secondary school
,Mukua Secondary School,2026-01-13,White and GG,55,50,49,1,0,2,1,0,3,1,1,,55,0,,"13 Jan 2026, 13:15:19","13 Jan 2026, 13:28:33",,Food was good,The line was well managed,Failed taps decreased from 3 to 1.most parents topped on time,Successful taps increased from 43 to 50.most students tapped successfully,@Mukua secondary
,Kibichoi Primary School,2026-01-13,Rice and GG,215,226,208,18,1,2,5,1,2,0,0,,230,2,,"13 Jan 2026, 13:00:29","13 Jan 2026, 13:25:39",,The food was delicious,I managed the queue well,The number of failed taps increased from 1 to 5 as some parents didn't top up their accounts on time.,"The number of successful taps increased from 189 to 208, many parents topped up their accounts on time",@sc kibichoi primary school
,Njunu Primary School,2026-01-13,Rice and g.g,255,259,234,25,0,2,3,1,3,0,0,,260,0,,"13 Jan 2026, 12:40:21","13 Jan 2026, 13:20:27",,Food was delicious and yummy,Line transition was well managed with help,We had a decrease to 3,We had an increase from 252 to 259,@Sc Elizabeth -Njunu primary school
,PCEA Mitahato Secondary School,2026-01-13,Rice and Green Grams,40,38,38,0,0,2,0,0,0,1,1,,45,0,,"13 Jan 2026, 13:17:55","13 Jan 2026, 13:27:09",,Food was hot and delicious,I managed the line with ease.,There were no failed taps because i had already reminded some parents to top up.,There was an increase of 5 successful taps because a high number of students are in school now.,"@minne,Tapper Mitahato Secondary"
,Ndireti Secondary School,2026-01-13,Rice and GG,25,24,24,0,0,2,1,0,1,0.5,0.5,,25,0,,"13 Jan 2026, 12:40:13","13 Jan 2026, 12:50:36",,The food was delicious,the line was manageable,the number of failed taps increased with a difference of one this is because the student claim their parents forgot to top up,"The number of successful taps increased with a difference of 9,the turn was a bit high",@Tracy Tapper Ndireti secondary school
,Miguta Primary School,2026-01-13,Rice and Green Grams,250,236,220,16,0,2,8,0,2,2,3,,240,0,,"13 Jan 2026, 12:50:20","13 Jan 2026, 13:40:25",,The food was hot and delicious,The queue was manageable,"There were 8 failed taps, a decrease of 5 from the previous tapping. Parents topped up on time","There were 220 successful taps, same as the previous tapping. Turn up was not as anticipated",@SC Pauline - Miguta Primary School
,Gathugu Primary School,2026-01-13,Rice and GG,250,253,230,23,0,2,1,1,7,0,0,,255,0,,"13 Jan 2026, 12:40:32","13 Jan 2026, 13:30:35",,food was delicious,queue management was smooth,"actual meals fed today were 253 compared to 244 of the previous tapping, more pupils resumed school",we had 1 failed taps whose parent forgot to top up on time and was unreachable,@SC Gathugu Comprehensive School
,Giathieko Primary School,2026-01-13,White Rice and Green Grams,180,185,168,17,0,2,1,1,2,0,0,,185,0,,"13 Jan 2026, 12:40:10","13 Jan 2026, 13:20:16",,Lunch was delicious,Queues were transitioning well from class to class.,Failed taps reduced from 3 to 1. Parents are topping up on time.,Successful taps increased from 178 to 185. More kids showed up today for lunch and their accounts had sufficient funds.,@SL PCEA Kagema Comprehensive school
,Kigumo Secondary School,2026-01-13,Rice and GG,100,87,87,0,0,2,8,12,2,4,5,,95,0,,"13 Jan 2026, 12:50:22","13 Jan 2026, 13:25:25",,Food was hot and delicious,Line was manageable,Number increased from 1 to 8,Number increased from 59 to 87,@daniel Kariuki
,Miiri Primary,2026-01-13,White Rice and Green Grams,390,394,352,42,0,3,2,2,2,0,0,,395,0,,"13 Jan 2026, 12:30:58","13 Jan 2026, 13:30:09",,The food was hot and delicious.,The queue was well organized and managed by the school prefects and me.,Failed taps decreased to 28 from 43 as more parents topped up on time.,Actual meals served increased to 394 from 375 due to timely parent top-ups and higher student turnout as more Grade 7 and new students continued reporting.,@SC Daniel Ng'ang'a - Miiri Primary School
,Nyaga Primary School,2026-01-13,Rice and Greengrams,500,497,439,58,0,3,10,4,20,0.75,0.9,,500,0,,"13 Jan 2026, 12:40:35","13 Jan 2026, 13:40:45",,The food was tasty,The line was well managed,The number of failed taps reduced from 14 to 10.Some accounts had not been topped up,The number of actual meals served increased from 482 to 497.Most accounts had been topped up,@SL Nyaga Primary and Junior School-Gladys
,Ihiga Primary,2026-01-13,White Rice and Green Grams,165,165,154,11,0,2,0,1,0,0,0,,165,0,,"13 Jan 2026, 12:40:25","13 Jan 2026, 13:15:33",,Food was Enough,Queues were manageable with assistance from teacher on duty.,Failed taps were 0 the same as yesterday.parents are topping up their accounts on time.,Successful taps were 165 a decrease from yesterday's taps which was 167.Turn up was a bit lower than yesterday.,@Naomi SC-Ihiga Comprehensive
,"Ceb Riamute Nursery, Primary & Junior Secondary School",2026-01-13,Rice and GG,320,313,284,29,0,3,9,0,5,3,4,,320,0,,"13 Jan 2026, 12:30:11","13 Jan 2026, 13:20:32",,The food was delicious and hot and the kids enjoyed the bananas,With the help of the Tod the queue was running smoothly,We had 9 failtaps a lower number than previous day which was 19 since their parents didn't top up their accounts,We had 313 successful taps a higher number than previous day which was  302 since their managed to top up their accounts hence reducing the number of failtaps,@sc willy- Ceb Riamute primary school
