Kitchen,School,Date,Menu,Projected_Kids,Actual_Meals_Served,Successful_Taps,F4E_Supported_Kids,Teachers,Staff_Meals,Failed_Taps,New_Registrations,New_Tags_Replaced,Rice_Remaining,B_W_G_Remaining,Missed_Food,Next_Day_Projection_Students,Next_Day_Projection_Teachers,Next_Day_Projection_Staff,Start_Taping,Stop_Taping,Projection_Comment,Comment_1,Comment_2,Comment_3,Comment_4,Reported_By
,HGM Ting'ang'a Secondary School,2026-03-17,Rice and Beans,90,91,91,3,0,2,4,0,0,,0,0,95,1,2,"17 Mar 2026, 13:00:53","17 Mar 2026, 13:15:03",Projection was meet after account top up,The activity was well conducted,It was well managed conducted by the deputy principal,"Failed taps reduced from 8 to 4 ,,,some parents recharged their accounts","Successful taps increased from 73 to 91,,the students who had been sent home the previous day resumed school today",@Linnet Tapper Ting'ang'a HGM Sec
,Ting'ang'a Model  School,2026-03-17,White Rice and beans+Bananas,410,404,350,54,0,3,17,1,3,3,6,0,390,0,3,"17 Mar 2026, 12:30:31","17 Mar 2026, 13:40:41",We project this as most kids don't like western stew.,Food was delicious,We had neat queues,"Our failed taps decreased from 37 to 17,,,most parents topped up on time.","Our successful taps increased from 336 to 350,,kids turn out was impressive as they love bananas.",@Faith Mueni (SC) Ting'ang'a model.
,St. Peters Ndumberi Secondary School,2026-03-17,Rice to beans,500,509,495,14,0,4,16,0,4,0,0,0,510,0,4,"17 Mar 2026, 13:15:58","17 Mar 2026, 13:50:04",Expecting the above projection.,The food was very delicious,There was an easy queue management.,Today's failed taps were 16 compared to yesterdays which was 24.This is because some parents topped up.,Today's successful taps were 495 compared to yesterdays which was 448.This was because there was an increase in the turn out.,@St Peters Ndumberi secondary
,P.C.E.A Karia Secondary School,2026-03-17,White rice and beans,50,45,45,0,3,2,4,0,0,1,2,0,50,5,2,"17 Mar 2026, 13:15:29","17 Mar 2026, 13:30:34",We expect a higher turn out tomorrow,Food was delicious and enough,Line was well managed,The number of failed taps increased from 04 to 04,The number of successful taps increased from 44 to 45,@Simon Tapper Karia secondary
,Maciri Primary School,2026-03-17,Rice Beans and Bananas,415,435,384,51,0,3,23,0,3,0,0,0,425,0,3,"17 Mar 2026, 12:20:15","17 Mar 2026, 13:55:17",We expect kids to show up for lunch.,Food was hot and delicious,Queues were manageable,Failed taps reduced to 23:accounts had insufficient funds,Successful taps increased from 351 to 384:turn out was great.kids loved the bananas.,@Claudiah(SC)Maciri Comprehensive
,Loreto Primary School,2026-03-17,White rice and Beans,420,403,357,46,0,3,27,0,1,4.25,5.1,0,420,0,3,"17 Mar 2026, 12:30:36","17 Mar 2026, 13:30:41",Hopefully more parents will top up early by tomorrow,Food was delicious,Queue was well managed,Decrease in failed taps today from t9 to 27 most parents were able to top though still some were late in early topping up,Increase in actual taps today from 370 to 403 most parents received reminder messages.,@Fiona SC Loreto primary
,Ndumberi Primary,2026-03-17,Rice and beans,810,839,772,67,0,5,61,3,1,0,0,0,830,0,5,"17 Mar 2026, 12:05:41","17 Mar 2026, 13:50:51",Expecting the above projection tomorrow,Food was delicious,Easy queue management,Today's failed taps 61 compared to yesterday 88 some parents topped up,Today's successful taps were 772 compared to yesterday 710 most parents topped up,@Ndumberi primary school
,St. Joseph Riabai Secondary School,2026-03-17,White rice and beans,125,140,140,0,0,3,8,0,0,0,0,0,140,0,3,"17 Mar 2026, 13:00:48","17 Mar 2026, 13:50:53",We expect more students,The food was delicious,The line was well managed,Failed taps decreased from 12 to 8 some parents topped up their children's accounts,Successful taps increased from 120 to 140 most students had sufficient funds,@Kwamboka (T) St.​joseph riabai secondary
,Kawaida Secondary School,2026-03-17,Rice and beans,95,94,94,0,5,3,5,0,0,0,0,0,100,5,3,"17 Mar 2026, 13:20:00","17 Mar 2026, 13:40:11",We expect a higher turneout tomorrow,Food was delicious and tasty,Queue was well managed by the teacher on duty,Failed taps decreased from 7 to 5 parents topped up on time,Successful taps increased from 88 to 94 parents topped up on time,@Njeri kawaida secondary school
,Gicoco Primary School,2026-03-17,Rice and beans,375,415,362,53,0,3,30,1,2,0,0,0,380,0,3,"17 Mar 2026, 12:15:23","17 Mar 2026, 13:38:29",20 kids will be going for games at HGM,Food was delicious,Queue was manageable,Failed taps reduced from 33 to 30 some parents remembered to top up on time,Successful taps increased from 316 to 362  turn up was high since we had bananas,@Anne (SC) Gicoco comprehensive
